scenario;2012;2013;2014;2015;2016;2025;2030;2035
Ampère;29,0;28,8;15,1;17,5;22,2;16,0;15,0;12,0
Hertz;29,0;28,8;15,1;17,5;22,2;19,0;21,0;19,0
Volt;29,0;28,8;15,1;17,5;22,2;14,0;12,0;9,0
Watt;29,0;28,8;15,1;17,5;22,2;21,0;28,0;32,0
